Range,Net MRR,Uninstalls,Installs
"January 1, 2017 - January 7, 2017",$56.04,98,208
"January 8, 2017 - January 14, 2017",$471.73,136,274
"January 15, 2017 - January 21, 2017",$235.06,141,254
"January 22, 2017 - January 28, 2017",$374.81,154,290
"January 29, 2017 - February 4, 2017",$772.34,135,290
"February 5, 2017 - February 11, 2017",$441.47,173,320
"February 12, 2017 - February 18, 2017",$561.83,154,233
"February 19, 2017 - February 25, 2017",$665.86,211,333
"February 26, 2017 - March 4, 2017",$301.40,251,384
"March 5, 2017 - March 11, 2017",$793.20,193,295
"March 12, 2017 - March 18, 2017","$1,025.79",193,370
"March 19, 2017 - March 25, 2017",$396.81,219,374
"March 26, 2017 - April 1, 2017",$616.62,231,379
"April 2, 2017 - April 8, 2017",$505.12,258,386
"April 9, 2017 - April 15, 2017",$120.87,182,379
"April 16, 2017 - April 22, 2017",$239.72,207,329
"April 23, 2017 - April 29, 2017",$286.47,219,398
"April 30, 2017 - May 6th, 2017",$565.35,245,349
"May 7, 2017 - May 13, 2017",$269.75,252,424
"May 14, 2017 - May 20, 2017",$658.16,237,389
"May 28, 2017 - June 3, 2017",$724.22,258,354
"June 4, 2017 - June 10, 2017 ",598.26,148,236
"June 11, 2017 - June 17, 2017 ",$453.73,245,437
"June 18, 2017 - June 24, 2017 ",$254.64,251,417
"June 25, 2017 - July 1, 2017 ",$513.66,221,366
"July 2, 2017 - July 8, 2017",$412.71,258,422
"July 9, 2017 - July 15, 2017",$521.29,275,471
"July 16, 2017 - July 22, 2017",$498.17,295,429
"July 23, 2017 - July 29, 2017","$1,290.18",304,493
"July 30, 2017 - August 5, 2017",$802.94,316,519
"August 6, 2017 - August 12, 2017",$917.68,257,474
"August 13, 2017 - August 19, 2017",$722.16,278,453
"August 20, 2017 - August 26, 2017",$678.56,307,484
