#,Classification,Severity,Start Date,Milestones,End Date,Problem
1,B,-3,"May 30, 2017",Internet down ,"June 1, 2017",Internet down
2,G,2,"June 1, 2017",Integrated Reviews ,"June 4, 2017",support
3,G,1,"June 3, 2017",Posting to LinkedIn,"June 5, 2017",social media
4,G,2,"June 8, 2017",Tutorial videos added,"June 10, 2017",support
5,B,-3,"June 12, 2017",Server Error ,"June 14, 2017",server error
6,B,-3,"June 12, 2017",You May Like' duplication,"June 14, 2017",support
7,G,1,"June 12, 2017","10,000 subscribers","June 15, 2017",general 
8,B,-2,"June 17, 2017",1 star review ,"June 19, 2017",1star review
9,B,-3,"June 20, 2017",Server down,"June 20, 2017",server error
10,B,-2,"June 20, 2017",Dashboard speed down ,"June 20, 2017",dashboard load time
11,B,-2,"June 21, 2017",Dashboard crashing ,"June 21, 2017",server error
12,B,-3,"June 21, 2017",MPS not working ,"June 21, 2017",MPS load time
13,G,2,"June 22, 2017",Fast MPS performance ,"June 22, 2017",general
14,G,3,"June 26, 2017",Euro-server-update,"June 29, 2017",server update
15,G,2,"June 26, 2017",Olivia Sales Emails ,"June 26, 2017",sales
16,G,2,"June 27, 2017",Plus success rollout ,"June 29, 2017",sales
17,B,-3,"June 27, 2017",Speed issues post server update,"June 27, 2017",server error
18,B,-3,"June 29, 2017",Shopify theme issue,"June 29, 2017",shopify error
19,B,-2,"June 24, 2017",Recently viewed not appearing ,"July 4, 2017",feature not working
20,G,2,"July 7th 2017",Shorter email templates ,"July 10, 2017",sales
21,B,-2,"July 11, 2017",Box load speeds down ,"July 11, 2017",slow load time
22,B,-2,"July 13, 2017",Conversion emails on LS dashboard,"July 19, 2017",sales
23,G,2,"July 16, 2017",Box load speed update ,"July 19, 2017",server update
24,B,-2,"July 17, 2017",Mobile view issues,"July 18, 2017",feature not working
25,B,-2,"July 17, 2017",New arrivals not appearing,"July 17, 2017",feature not working
26,G,3,"July 20  ",Super Sever Upgrade,"August 25, 2017",server update
27,B,-2,"July 20, 2017",1 star review ,"July 22, 2017",1star review
28,B,-2,"July 20, 2017",top picks not working,"August 8, 2017",feature not working
29,N,0,"July 21, 2017",CSS customization reversed ,"July 26, 2017",CSS changes
30,G,2,"July 22, 2017",Anahita customer calls ,"July 25, 2017",sales
31,B,-2,"July 24, 2017",Shopify reviews issue,"July 25, 2017",feature not working
32,B,-1,"July 24, 2017",Feature settings not applying immediately,"July 24, 2017",feature settings not working
33,B,-3,"July 24, 2017",Critical server issue,"July 24, 2017",server error
34,G,3,"July 24, 2017",Automatic CSS changes applied,"July 28, 2017",CSS changes
35,N,0,"July 25, 2017",July 25th: performance updated not accpeted by some browser ,"July 26, 2017",general 
36,N,0,"July 26, 2017",Billing status not updated,"July 28, 2017",general 
37,G,3,"July 27, 2017",Trial end dates added to Advanced & Plus,"August 1, 2017",sales
38,G,3,"July 28, 2017",Plan upgrade emails,"August 1, 2017",sales
39,B,-2,"August 3, 2017",Box load speed down ,"August 3, 2017",server error
40,B,-2,"August 3, 2017",Dashboard crash ,"August 3, 2017",dashboard load time
41,B,-3,"August 8, 2017",Service outage,"August 8, 2017",server error
42,B,-2,"August 8, 2017",Global head liquid error ,"August 9, 2017",Code changes
43,G,1,"August 8, 2017",Top picks working ,"August 10, 2017",feature working 
44,B,2,"August 24, 2017",MPS issue ,"August 25, 2017",MPS load time
